transcript,formatted.address,lat.coord,lon.coord,place,sign,place_name,district,nafa,natural_area_class,municipla_class,metropolitan_class,religion,total_population,jews and others,jews,arabs,est_year,settlement_method,organizational_association,coordinates,hight,planning_commetee,police,transcript_pub,שדה לקישור
KEFAR HAORANIM,Kfar Ha-Oranim,31.919928,35.036911,כפר האורנים,3796,כפר האורנים,7,74,NA,73,NA,1,2678,2.7,2.7,NA,1998,190,NA,2036864739,300,711,4354,Kefar HaOranim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3796
KEFAR HARO'E,"Kfar Haroeh, Israel",32.391037,34.910917,"כפר הרא""ה",217,"כפר הרא""ה",4,41,411,16,141,1,1503,1.5,1.5,NA,1934,310,2,1919269967,23,409,5120,Kefar HaRo'e,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=217
KEFAR HESS,"Kfar Hess, Israel",32.247721,34.935137,כפר הס,187,כפר הס,4,41,411,18,141,1,1602,1.6,1.6,NA,1933,310,1,1940368370,74,412,5120,Kefar Hess,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=187
KEFAR MENAHEM,"Kfar Menahem, Israel",31.732077,34.835079,כפר מנחם,274,כפר מנחם,6,61,611,35,NA,1,1373,1.4,1.3,NA,1937,330,15,1842562641,110,632,3830,Kefar Menahem,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=274
KEFAR NETTER,"Kfar Netter, Israel",32.271928,34.871979,כפר נטר,316,כפר נטר,4,41,411,19,141,1,1226,1.2,1.2,NA,1939,310,10,1881168692,24,401,5120,Kefar Netter,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=316
KEFAR PINES,"Kfar Pines, Israel",32.482717,35.002063,כפר פינס,189,כפר פינס,3,32,324,14,NA,1,1019,1,1,NA,1933,310,2,2004670999,60,351,1180,Kefar Pines,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=189
KEFAR ROSH HANIQRA,"Rosh HaNikra, Israel",33.08609,35.113455,כפר ראש הנקרה,579,כפר ראש הנקרה,2,24,245,4,NA,1,1349,1.3,1.3,NA,1949,330,15,2109877677,33,201,1350,Kefar Rosh HaNiqra,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=579
KEFAR SAVA,"Kefar Sava, Israel",32.178195,34.90761,כפר סבא,6900,כפר סבא,4,42,421,0,131,1,98981,98.8,95.3,NA,1903,150,NA,1919567640,52,405,5140,Kefar Sava,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=6900
KEFAR SHEMARYAHU,"Kfar Shmaryahu, Israel",32.187123,34.823124,כפר שמריהו,267,כפר שמריהו,5,51,511,99,121,1,1911,1.9,1.8,NA,1937,350,NA,1833067703,31,504,2360,Kefar Shemaryahu,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=267
KEFAR SIRKIN,"Kfar Sirkin, Israel",32.076684,34.922763,כפר סירקין,249,כפר סירקין,4,42,422,20,142,1,1377,1.4,1.4,NA,1936,310,NA,1930166493,41,417,5130,Kefar Sirkin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=249
KEFAR TAPPUAH,Kfar Tapuach,32.117973,35.249829,כפר תפוח,3572,כפר תפוח,7,73,NA,72,NA,1,1071,1.1,1.1,NA,1978,370,2,2238466944,653,710,4164,Kefar Tappuah,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3572
KEFAR TAVOR,"Kfar Tavor, Israel",32.687346,35.419972,כפר תבור,47,כפר תבור,2,22,222,99,NA,1,3983,4,3.9,NA,1901,190,NA,2397473249,102,251,1420,Kefar Tavor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=47
KEFAR VITKIN,"Kfar Vitkin, Israel",32.380541,34.875308,כפר ויתקין,190,כפר ויתקין,4,41,411,16,141,1,2003,2,2,NA,1933,191,NA,1887369867,14,409,5120,Kefar Vitkin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=190
KEFAR WARBURG,"Kfar Warburg, Israel",31.718747,34.72868,כפר ורבורג,320,כפר ורבורג,6,61,611,33,143,1,1120,1.1,1.1,NA,1939,310,1,1741662526,54,616,3830,Kefar Warburg,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=320
KEFAR WERADIM,"Kfar Vradim, Israel",32.995088,35.269101,כפר ורדים,1263,כפר ורדים,2,24,243,99,NA,1,5556,5.5,5.3,NA,1984,180,NA,2255276677,533,255,1320,Kefar Weradim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1263
KEFAR YEHEZQEL,"Kfar Yehezkel, Israel",32.566949,35.360888,כפר יחזקאל,85,כפר יחזקאל,2,23,232,8,NA,1,1138,1.1,1.1,NA,1921,310,1,2340471922,5,204,1420,Kefar Yehezqel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=85
KEFAR YEHOSHUA,"Kfar Yehoshua, Israel",32.681639,35.151976,כפר יהושע,140,כפר יהושע,2,23,235,9,NA,1,1152,1.2,1.1,NA,1927,310,1,2145773196,47,254,1440,Kefar Yehoshua,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=140
KEFAR YONA,"Kfar Yona, Israel",32.317719,34.933615,כפר יונה,168,כפר יונה,4,41,411,0,141,1,22254,22.2,21.7,NA,1932,160,NA,1937969133,42,457,5120,Kefar Yona,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=168
KISRA-SUMEI,"Kisra-Sumei, Israel",32.97232,35.298528,כסרא-סמיע,1296,כסרא-סמיע,2,24,243,99,NA,2,8342,NA,NA,8.3,NA,280,NA,2287976387,624,255,1320,Kisra-Sumei,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1296
KOKHAV HASHAHAR,Kohav HaShahar,31.960264,35.349421,כוכב השחר,3564,כוכב השחר,7,74,NA,73,445,1,1985,2,2,NA,1977,370,11,2330765179,577,711,4354,Kokhav HaShahar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3564
KOKHAV MIKHA'EL,"Kokhav Michael, Israel",31.631482,34.667794,כוכב מיכאל,824,כוכב מיכאל,6,61,614,36,NA,1,1010,1,1,NA,1950,310,1,1686861527,95,633,3840,Kokhav Mikha'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=824
KOKHAV YA'AQOV,Kokhav Ya'akov,31.880152,35.242773,כוכב יעקב,3779,כוכב יעקב,7,74,NA,73,445,1,7394,7.4,7.4,NA,1985,180,NA,2230164305,758,711,4354,Kokhav Ya'aqov,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3779
KOKHAV YA'IR,"Kokhav Ya'ir Tzur Yigal, Israel",32.220922,34.992405,כוכב יאיר,1224,כוכב יאיר,4,42,421,99,141,1,9007,9,8.9,NA,1981,180,NA,1997868091,95,455,5150,Kokhav Ya'ir,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1224
KUSEIFE,"Kuseife, Israel",31.249246,35.083681,כסיפה,1059,כסיפה,6,62,623,99,NA,2,19718,NA,NA,19.7,NA,270,NA,2082157245,465,652,3481,Kuseife,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1059
LAPPID,Lapid,31.917522,35.032191,לפיד,1310,לפיד,4,43,431,25,142,1,2520,2.5,2.5,NA,1996,190,NA,2032064717,268,424,5290,Lappid,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1310
LAQYE,"Kaufmann St 6, Tel Aviv-Yafo, 68012, Israel",32.0641034,34.7622165,לקיה,1060,לקיה,6,62,623,99,341,2,12285,NA,NA,12.3,NA,270,NA,1873558141,396,652,3481,Laqye,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1060
LEHAVIM,"Lehavim, Israel",31.373835,34.816952,להבים,1271,להבים,6,62,623,99,341,1,6444,6.3,6.2,NA,1985,180,NA,1822758650,310,619,3485,Lehavim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1271
LOD,"Lod, Israel",31.951014,34.888075,לוד,7e3,לוד,4,43,432,0,133,4,73608,51.5,45.7,22.1,1948,150,NA,1895665096,57,406,5280,Lod,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7000
MA'AGAN MIKHA'EL,"Ma'agan Michael, Israel",32.55871,34.917816,מעגן מיכאל,694,מעגן מיכאל,3,32,321,15,NA,1,1907,1.9,1.8,NA,1949,330,15,1923671802,11,303,1181,Ma'agan Mikha'el,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=694
MA'ALE ADUMMIM,Ma'ale Adumim,31.777369,35.297955,מעלה אדומים,3616,מעלה אדומים,7,76,NA,0,445,1,37670,37.6,36.4,NA,1975,160,NA,2290463187,330,706,4355,Ma'ale Adummim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3616
MA'ALE EFRAYIM,Ma'ale Efraim,32.071304,35.4039,מעלה אפרים,3608,מעלה אפרים,7,75,NA,99,NA,1,1209,1.2,1.1,NA,1970,350,NA,2382866422,178,707,4164,Ma'ale Efrayim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3608
MA'ALE IRON,"Ma'ale Iron, Israel",32.554128,35.182499,מעלה עירון,1327,מעלה עירון,3,32,323,99,NA,2,14308,NA,NA,14.3,NA,270,NA,2147171756,249,354,1470,Ma'ale Iron,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1327
MA'ALE MIKHMAS,"Gdud Mikhmas St, Jerusalem",31.8273388,35.2434494,מעלה מכמש,3651,מעלה מכמש,7,74,NA,73,445,1,1323,1.3,1.3,NA,1981,370,11,2290664293,585,711,4354,Ma'ale Mikhmas,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3651
MA'ALE SHOMERON,Ma'ale Shomron,32.165406,35.069744,מעלה שומרון,3637,מעלה שומרון,7,73,NA,72,145,1,1037,1,1,NA,1980,370,9,2067967475,312,710,4164,Ma'ale Shomeron,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3637
MA'ALOT-TARSHIHA,"Ma'alot-Tarshiha, Israel",33.015026,35.276017,מעלות-תרשיחא,1063,מעלות-תרשיחא,2,24,243,0,NA,4,21142,16.8,14.3,4.4,1957,160,NA,2263576889,521,223,1320,Ma'alot-Tarshiha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1063
MA'GALIM,"Ma'agalim, Israel",31.398859,34.598239,מעגלים,1082,מעגלים,6,62,621,39,NA,1,2012,2,2,NA,1958,190,NA,1618358958,127,651,3482,Ma'galim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1082
MA'OR,"Maor, Israel",32.425832,35.005289,מאור,2055,מאור,3,32,324,14,NA,1,1262,1.3,1.2,NA,1953,310,1,2007970341,32,351,1450,Ma'or,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2055
MABBU'IM,"Mabu'im, Israel",31.44945,34.65499399999999,מבועים,1080,מבועים,6,62,621,42,NA,1,1176,1.2,1.2,NA,1958,350,NA,1671959544,170,651,3482,Mabbu'im,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1080
MAGGAL,"Magal, Israel",32.385556,35.036147,מגל,375,מגל,3,32,324,14,NA,1,1085,1.1,1.1,NA,1953,330,15,2033869911,72,351,1450,Maggal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=375
MAGSHIMIM,"Magshimim, Israel",32.044363,34.899834,מגשימים,722,מגשימים,4,42,422,20,132,1,1074,1.1,1.1,NA,1949,310,10,1906166151,50,417,5130,Magshimim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=722
MAJD AL-KURUM,"Majd al-Krum, Israel",32.920132,35.25665,מג'ד אל-כרום,516,מג'ד אל-כרום,2,24,242,99,NA,2,14842,NA,NA,14.8,NA,270,NA,2241375847,242,260,1310,Majd Al-Kurum,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=516
MAJDAL SHAMS,Majdal Shams,33.2690961,35.772122,מג'דל שמס,4201,מג'דל שמס,2,29,291,99,NA,2,10804,NA,NA,10.8,NA,270,NA,2721679676,1230,256,1270,Majdal Shams,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4201
MANSHIYYET ZABDA,"Manshiya Zabda, Israel",32.706219,35.192415,מנשית זבדה,994,מנשית זבדה,2,25,237,9,NA,2,1256,NA,NA,1.3,NA,450,NA,2184573467,104,254,1440,Manshiyyet Zabda,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=994
MAS'ADE,Mas'ada,33.2321159,35.7555991,מסעדה,4203,מסעדה,2,29,292,99,NA,2,3557,NA,NA,3.6,NA,290,NA,2709879298,1034,256,1270,Mas'ade,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=4203
MASH'EN,"Mash'en, Israel",31.656885,34.621607,משען,791,משען,6,61,614,36,NA,1,1047,1,1,NA,1950,310,1,1643761845,51,633,3840,Mash'en,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=791
MATTAN,Matan,32.159377,34.97319,מתן,1315,מתן,4,42,421,20,142,1,3554,3.6,3.5,NA,1995,190,NA,1976167391,66,417,5150,Mattan,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1315
MAZKERET BATYA,"Mazkeret Batya, Israel",31.853167,34.842421,מזכרת בתיה,28,מזכרת בתיה,4,44,441,99,143,1,13420,13.4,13.2,NA,1883,170,NA,1852464000,62,453,5230,Mazkeret Batya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=28
MAZLIAH,"Matsli'ah, Israel",31.906364,34.871278,מצליח,757,מצליח,4,43,432,30,143,1,1327,1.3,1.3,NA,1950,310,1,1881064598,81,426,5220,Mazliah,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=757
MAZOR,"Mazor, Israel",32.050698,34.931373,מזור,606,מזור,4,42,422,25,142,1,1323,1.3,1.3,NA,1949,310,1,1931066207,54,424,5130,Mazor,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=606
MAZRA'A,"Mazra'a, Israel",32.983652,35.098934,מזרעה,517,מזרעה,2,24,245,99,241,2,3714,NA,NA,3.7,NA,290,NA,2095476542,15,201,1350,Mazra'a,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=517
MAZZUVA,"Matzuva, Israel",33.062312,35.155705,מצובה,325,מצובה,2,24,244,4,NA,1,1166,1.2,1.1,NA,1940,330,15,2150377427,92,201,1350,Mazzuva,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=325
MEFALLESIM,"Mefalsim, Israel",31.50220599999999,34.561674,מפלסים,668,מפלסים,6,61,614,37,NA,1,1001,1,1,NA,1949,330,15,1584160127,94,651,3840,Mefallesim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=668
MEGADIM,"Megadim, Israel",32.727734,34.960923,מגדים,689,מגדים,3,32,321,15,223,1,1286,1.3,1.3,NA,1949,310,1,1964273727,15,303,1182,Megadim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=689
MEISER,"Meiser, Israel",32.445246,35.042131,מייסר,649,מייסר,3,32,323,14,NA,2,1925,NA,NA,1.9,NA,450,NA,2041670564,57,351,1450,Meiser,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=649
MENAHEMYA,"Menahemia, Israel",32.664333,35.55533800000001,מנחמיה,48,מנחמיה,2,22,221,7,NA,1,1005,1,1,NA,1902,350,NA,2523473022,-154,202,1240,Menahemya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=48
MERHAVYA(QIBBUZ),"Merhavia, Israel",32.60585,35.30725,מרחביה (קיבוץ),66,מרחביה (קיבוץ),2,23,234,9,NA,1,1173,1.2,1.1,NA,1911,330,15,2291272352,71,254,1420,Merhavya(Qibbuz),http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=66
MERKAZ SHAPPIRA,"Merkaz Shapira, Israel",31.696927,34.707319,מרכז שפירא,1098,מרכז שפירא,6,61,611,34,NA,1,2154,2.2,2.2,NA,1948,190,NA,1722562273,50,631,3830,Merkaz Shappira,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1098
MESHHED,"Mashhad, Israel",32.738912,35.322494,משהד,520,משהד,2,25,237,99,NA,2,7950,NA,NA,7.9,NA,280,NA,2305873839,268,257,1410,Meshhed,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=520
MESILLAT ZIYYON,"Mesilat Zion, Israel",31.801449,35.009463,מסילת ציון,742,מסילת ציון,1,11,112,26,444,1,1263,1.3,1.2,NA,1950,310,1,2011563441,303,151,7004,Mesillat Ziyyon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=742
METAR,"Meitar, Israel",31.327011,34.943213,מיתר,1268,מיתר,6,62,623,99,342,1,7496,7.4,7.3,NA,1984,180,NA,1942358159,457,615,3481,Metar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1268
METULA,"Metula, Israel",33.277232,35.578235,מטולה,43,מטולה,2,21,211,99,NA,1,1589,1.5,1.5,NA,1896,350,NA,2541579817,442,259,1210,Metula,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=43
MEVASSERET ZIYYON,"Mevaseret Zion, Israel",31.804052,35.157891,מבשרת ציון,1015,מבשרת ציון,1,11,111,99,444,1,24434,24.3,23.6,NA,1951,160,NA,2144363412,717,152,6129,Mevasseret Ziyyon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1015
MEVO HORON,Mevo Horon,31.849598,35.034977,מבוא חורון,3709,מבוא חורון,7,74,NA,73,NA,1,2566,2.6,2.6,NA,1970,192,8,2035663942,249,711,4354,Mevo Horon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3709
MI'ELYA,"Mi'ilya, Israel",33.027194,35.256304,מעיליא,518,מעיליא,2,24,243,99,NA,2,3204,NA,NA,3.1,NA,290,NA,2244177018,502,258,1320,Mi'elya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=518
MIDRESHET BEN GURION,"Midreshet Ben-Gurion, Israel",30.852297,34.7834,מדרשת בן גוריון,1140,מדרשת בן גוריון,6,62,626,48,NA,1,1886,1.9,1.8,NA,1965,350,NA,1790952918,473,620,3450,Midreshet Ben Gurion,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1140
MIGDAL,"Migdal, Israel",32.839494,35.499849,מגדל,65,מגדל,2,22,221,99,NA,1,1880,1.8,1.8,NA,1910,350,NA,2475774922,-85,251,1240,Migdal,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=65
MIGDAL HAEMEQ,"Migdal HaEmek, Israel",32.6778114,35.2417497,מגדל העמק,874,מגדל העמק,2,23,237,0,NA,1,25084,25.1,22.7,NA,1952,160,NA,2230973150,212,221,1440,Migdal HaEmeq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=874
MIKHMORET,"Mikhmoret, Israel",32.406504,34.871551,מכמורת,382,מכמורת,4,41,411,16,141,1,1380,1.4,1.3,NA,1945,310,1,1883170142,12,409,5120,Mikhmoret,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=382
MISHMAR HAEMEQ,"Mishmar HaEmek, Israel",32.610063,35.14267299999999,משמר העמק,130,משמר העמק,2,23,234,13,NA,1,1228,1.2,1.2,NA,1926,330,15,2136472399,105,254,1420,Mishmar HaEmeq,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=130
MISHMAR HASHIV'A,"Mishmar HaShiv'a, Israel",32.010891,34.822337,משמר השבעה,729,משמר השבעה,4,43,432,40,133,1,1003,1,1,NA,1949,310,19,1834765747,28,425,5210,Mishmar HaShiv'a,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=729
MISHMERET,"Mishmeret, Israel",32.227586,34.922055,משמרת,425,משמרת,4,41,411,18,141,1,1057,1.1,1,NA,1946,310,1,1926568163,57,412,5120,Mishmeret,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=425
MIZPE RAMON,"Mitzpe Ramon, Israel",30.610203,34.801898,מצפה רמון,99,מצפה רמון,6,62,626,99,NA,1,5123,4.9,4.5,NA,1954,180,NA,1810250379,714,613,3450,Mizpe Ramon,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=99
MIZPE YERIHO,Mitzpe Yeriho,31.815688,35.395409,מצפה יריחו,3576,מצפה יריחו,7,75,NA,73,445,1,2319,2.3,2.3,NA,1978,190,11,2374163591,166,711,4355,Mizpe Yeriho,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3576
MODI'IN-MAKKABBIM-RE'UT,"Modi'in-Maccabim-Re'ut, Israel",31.890267,35.010397,מודיעין-מכבים-רעות*,1200,מודיעין-מכבים-רעות*,4,43,431,0,142,1,90013,90,88.2,NA,1986,150,NA,2013064473,209,420,5290,Modi'in-Makkabbim-Re'ut,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1200
MODI'IN ILLIT,Modi'in Ilit,31.932477,35.042265,מודיעין עילית,3797,מודיעין עילית,7,74,NA,0,NA,1,66847,66.8,66.8,NA,1996,150,NA,2035964873,283,730,4354,Modi'in Illit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3797
MOLEDET,"Moledet, Israel",32.586196,35.438941,מולדת,269,מולדת,2,23,233,8,NA,1,1012,1,1,NA,1937,320,1,2416372136,63,204,1420,Moledet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=269
MORESHET,"Moreshet, Israel",32.826132,35.231997,מורשת,1178,מורשת,2,24,241,56,241,1,1439,1.4,1.4,NA,1981,370,11,2221774795,310,205,1360,Moreshet,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1178
MUGHAR,"Maghar, Israel",32.890704,35.40461,מגאר,481,מגאר,2,22,222,99,NA,2,21907,NA,NA,21.9,NA,260,NA,2389075473,148,251,1240,Mughar,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=481
MUQEIBLE,Muqeible,32.514142,35.294806,מוקייבלה,635,מוקייבלה,2,23,234,8,NA,2,3842,NA,NA,3.8,NA,290,NA,2280771334,88,204,1420,Muqeible,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=635
NA'ALE,Na'ale,31.962594,35.065976,נעלה,3787,נעלה,7,74,NA,73,145,1,1661,1.7,1.6,NA,1988,350,NA,2062065221,397,711,4354,Na'ale,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3787
NA'AN,"Na'an, Israel",31.883208,34.859237,נען,158,נען,4,43,432,30,143,1,1590,1.6,1.6,NA,1930,330,15,1866564345,90,426,5230,Na'an,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=158
NA'URA,"Na'ura, Israel",32.61468,35.391133,נאעורה,524,נאעורה,2,23,233,8,NA,2,2175,NA,NA,2.2,NA,290,NA,2369972443,114,204,1420,Na'ura,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=524
NAHARIYYA,"Nahariyya, Israel",33.0085361,35.0980514,נהרייה,9100,נהרייה,2,24,245,0,241,1,54903,53.5,48.7,NA,1934,150,NA,2094676817,24,210,1350,Nahariyya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=9100
NAHEF,"Nahf, Israel",32.934675,35.31652,נחף,522,נחף,2,24,242,99,NA,2,12338,NA,NA,12.3,NA,270,NA,2299975999,317,260,1310,Nahef,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=522
NAVE,"Nave, Qatsrin",32.989686,35.6911,נווה,1366,נווה,6,62,622,38,NA,1,1190,1.2,1.2,NA,2010,310,11,1364556377,100,651,3430,Nave,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1366
NAZARETH,"Nazareth, Israel",32.699635,35.303546,נצרת,7300,נצרת,2,25,237,0,NA,2,75922,NA,NA,75.8,NA,250,NA,2279473415,347,211,1410,Nazareth,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7300
NAZERAT ILLIT,"Nazareth Iliit, Israel",32.711539,35.324812,נצרת עילית,1061,נצרת עילית,2,25,237,0,NA,4,40244,30.4,24.6,9.9,1957,160,NA,2305073479,327,212,1460,Nazerat Illit,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=1061
NEHALIM,"Nehalim, Israel",32.05859700000001,34.9136,נחלים,449,נחלים,4,42,422,25,142,1,1605,1.6,1.6,NA,1948,310,2,1918666291,49,424,5130,Nehalim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=449
NEHORA,"Nehora, Israel",31.621321,34.704496,נהורה,309,נהורה,6,61,612,50,NA,1,1158,1.2,1.1,NA,1956,350,NA,1721261462,96,634,3820,Nehora,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=309
NEHUSHA,"Nehusha, Israel",31.628848,34.952732,נחושה,59,נחושה,1,11,112,26,444,1,1302,1.3,1.3,NA,1982,310,2,1957161534,409,151,7004,Nehusha,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=59
NEIN,"Nein, Israel",32.630986,35.349399,ניין,523,ניין,2,23,233,66,NA,2,1775,NA,NA,1.8,NA,450,NA,2329872632,229,251,1420,Nein,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=523
NES HARIM,"Nes Harim, Israel",31.74419199999999,35.059406,נס הרים,825,נס הרים,1,11,111,26,444,1,1335,1.3,1.3,NA,1950,310,1,2056162807,683,151,7004,Nes Harim,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=825
NES ZIYYONA,"Ness Ziona, Israel",31.932111,34.801327,נס ציונה,7200,נס ציונה,4,44,442,0,133,1,48161,48.1,47.3,NA,1883,160,NA,1810364825,39,407,5210,Nes Ziyyona,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7200
NESHER,"Nesher, Israel",32.7649,35.049191,נשר,2500,נשר,3,31,311,0,223,1,23684,23.4,20.9,NA,1925,160,NA,2042674162,155,355,1160,Nesher,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=2500
NETANYA,"Netanya, Israel",32.321458,34.853196,נתניה,7400,נתניה,4,41,411,0,141,1,210834,210.5,194,NA,1929,130,NA,1872669145,28,408,5110,Netanya,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=7400
NETIVOT,"Netivot, Israel",31.423196,34.595254,נתיבות,246,נתיבות,6,62,621,0,NA,1,32513,32.5,31.4,NA,1956,160,NA,1606359231,130,609,3482,Netivot,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=246
NEWE DANIYYEL,"Kehilat New York St, Lod, Israel",31.95012999999999,34.901779,נווה דניאל,3725,נווה דניאל,7,76,NA,76,445,1,2278,2.3,2.3,NA,1982,190,2,2136862048,964,714,4352,Newe Daniyyel,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=3725
NEWE YAMIN,"Neve Yamin, Israel",32.171692,34.939378,נווה ימין,686,נווה ימין,4,42,421,20,142,1,1210,1.2,1.2,NA,1949,310,1,1944967534,37,417,5140,Newe Yamin,http://gis.cbs.gov.il/Yeshuvim_allyears/start.aspx?stl=686
